;—кважина;‘акт. врем€ работы , сут;‘акт. закачка за мес€ц, м3;ћесторождение;name_of_date_doc_col
0;0_i;31.0;21142.0;6;2011-08-01
1;1_i;4.0;2728.0;6;2011-08-01
2;2_i;;;6;2011-12-01
3;3_i;30.0;13398.000000000002;6;2011-12-01
4;0_i;30.0;24420.000000000004;6;2011-12-01
5;4_i;30.0;15180.000000000002;6;2011-12-01
6;5_i;30.0;18744.0;6;2011-12-01
7;1_i;30.0;17688.0;6;2011-12-01
8;0_i;30.0;19800.0;6;2011-07-01
9;5_i;;;6;2011-07-01
10;0_i;6.0;3801.6000000000004;6;2011-06-01
11;0_i;;;6;2011-05-01
12;2_i;;;6;2011-11-01
13;3_i;0.92;403.3260000000001;6;2011-11-01
14;0_i;31.0;22506.0;6;2011-11-01
15;4_i;8.96;5912.500000000001;6;2011-11-01
16;5_i;31.0;21687.600000000002;6;2011-11-01
17;1_i;27.0;24354.000000000004;6;2011-11-01
18;0_i;30.0;21780.0;6;2011-10-01
19;4_i;;;6;2011-10-01
20;5_i;30.0;19140.0;6;2011-10-01
21;1_i;30.0;27060.000000000004;6;2011-10-01
22;0_i;31.0;21824.0;6;2011-09-01
23;5_i;18.0;13860.000000000002;6;2011-09-01
24;1_i;31.0;28303.000000000004;6;2011-09-01
25;6_i;31.0;24620.2;6;2012-08-01
26;2_i;31.0;19573.4;6;2012-08-01
27;7_i;24.92;8852.624000000002;6;2012-08-01
28;8_i;25.0;11319.000000000002;6;2012-08-01
29;9_i;;;6;2012-08-01
30;10_i;;;6;2012-08-01
31;3_i;31.0;25370.4;6;2012-08-01
32;0_i;31.0;27484.600000000002;6;2012-08-01
33;4_i;31.0;13640.000000000002;6;2012-08-01
34;5_i;31.0;15208.6;6;2012-08-01
35;1_i;31.0;19573.4;6;2012-08-01
36;6_i;31.0;21390.600000000002;6;2012-04-01
37;2_i;31.0;15963.2;6;2012-04-01
38;7_i;4.0;4400.0;6;2012-04-01
39;8_i;;;6;2012-04-01
40;3_i;31.0;19219.2;6;2012-04-01
41;0_i;31.0;18288.600000000002;6;2012-04-01
42;4_i;31.0;17800.2;6;2012-04-01
43;5_i;31.0;20187.2;6;2012-04-01
44;1_i;31.0;21210.2;6;2012-04-01
45;6_i;29.88;16845.576;6;2012-12-01
46;2_i;29.83;16496.326;6;2012-12-01
47;7_i;27.0;10692.0;6;2012-12-01
48;11_i;29.92;18292.912;6;2012-12-01
49;8_i;30.0;29752.800000000003;6;2012-12-01
50;12_i;29.88;5783.8;6;2012-12-01
51;10_i;30.0;18744.0;6;2012-12-01
52;13_i;30.0;13860.000000000002;6;2012-12-01
53;3_i;30.0;16500.0;6;2012-12-01
54;0_i;30.0;22572.000000000004;6;2012-12-01
55;4_i;21.0;9856.0;6;2012-12-01
56;5_i;30.0;22770.000000000004;6;2012-12-01
57;1_i;30.0;23826.000000000004;6;2012-12-01
58;14_i;;;6;2012-12-01
59;15_i;29.88;28733.826;6;2012-12-01
60;6_i;30.0;20446.800000000003;6;2012-07-01
61;2_i;30.0;15004.000000000002;6;2012-07-01
62;7_i;30.0;10362.0;6;2012-07-01
63;8_i;30.0;7788.000000000001;6;2012-07-01
64;9_i;;;6;2012-07-01
65;10_i;;;6;2012-07-01
66;3_i;30.0;19514.0;6;2012-07-01
67;0_i;30.0;19289.600000000002;6;2012-07-01
68;4_i;30.0;14586.000000000002;6;2012-07-01
69;5_i;30.0;17160.0;6;2012-07-01
70;1_i;30.0;21516.0;6;2012-07-01
71;6_i;31.0;18550.4;6;2012-06-01
72;2_i;31.0;17186.4;6;2012-06-01
73;7_i;30.0;10626.0;6;2012-06-01
74;8_i;24.0;8975.736;6;2012-06-01
75;3_i;31.0;15582.6;6;2012-06-01
76;0_i;31.0;14885.2;6;2012-06-01
77;4_i;31.0;13442.000000000002;6;2012-06-01
78;5_i;31.0;14150.400000000001;6;2012-06-01
79;1_i;31.0;15804.800000000001;6;2012-06-01
80;6_i;30.0;17014.800000000003;6;2012-05-01
81;2_i;30.0;19778.0;6;2012-05-01
82;7_i;30.0;31064.000000000004;6;2012-05-01
83;8_i;;;6;2012-05-01
84;3_i;30.0;16632.0;6;2012-05-01
85;0_i;30.0;19140.0;6;2012-05-01
86;4_i;30.0;17160.0;6;2012-05-01
87;5_i;30.0;17358.0;6;2012-05-01
88;1_i;30.0;19800.0;6;2012-05-01
89;6_i;2.92;2245.8260000000005;6;2012-03-01
90;2_i;29.0;21942.800000000003;6;2012-03-01
91;16_i;;;6;2012-03-01
92;3_i;29.0;18183.0;6;2012-03-01
93;0_i;29.0;16970.800000000003;6;2012-03-01
94;4_i;29.0;16460.4;6;2012-03-01
95;5_i;29.0;17941.0;6;2012-03-01
96;1_i;29.0;20735.0;6;2012-03-01
97;6_i;31.0;18788.0;6;2012-11-01
98;2_i;30.83;16036.174;6;2012-11-01
99;7_i;30.83;12820.500000000002;6;2012-11-01
100;11_i;28.0;14784.000000000002;6;2012-11-01
101;8_i;13.0;7488.8;6;2012-11-01
102;12_i;30.92;14283.500000000002;6;2012-11-01
103;10_i;30.96;18279.25;6;2012-11-01
104;13_i;30.83;15126.826000000001;6;2012-11-01
105;3_i;31.0;15367.000000000002;6;2012-11-01
106;0_i;31.0;23870.000000000004;6;2012-11-01
107;4_i;28.0;14784.000000000002;6;2012-11-01
108;5_i;31.0;24321.000000000004;6;2012-11-01
109;1_i;31.0;18618.600000000002;6;2012-11-01
110;14_i;;;6;2012-11-01
111;15_i;10.0;7700.000000000001;6;2012-11-01
112;6_i;30.0;21769.0;6;2012-10-01
113;2_i;30.0;18037.800000000003;6;2012-10-01
114;7_i;26.0;10582.0;6;2012-10-01
115;11_i;;;6;2012-10-01
116;8_i;26.0;16533.0;6;2012-10-01
